date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2016-01-18,0,0,0,0,0.0,0.0,0
2016-02-01,0,1,0,0,0.0,0.0,0
2016-03-01,0,0,0,0,0.0,0.0,0
2016-03-12,0,0,0,0,0.0,0.0,0
2016-05-11,0,0,0,0,0.0,0.0,0
2016-05-13,0,0,0,0,0.0,0.0,0
2016-06-01,0,0,0,0,-0.0212121212121,0.284848484848,0
2016-06-13,0,0,0,0,0.0,0.0,0
2016-07-06,0,0,0,0,-0.15,0.1,0
2016-07-08,0,0,0,0,0.0,0.0,0
2016-07-15,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,1.0,0
2016-07-21,0,0,0,0,0.166666666667,0.2,0
2016-07-25,0,0,0,0,0.0,0.0,0
2016-08-03,0,0,0,0,0.136363636364,0.454545454545,3
2016-08-12,0,0,0,0,0.0,0.0,0
2016-08-23,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,0,0,0.25,0.65,0
2016-09-23,0,0,0,0,0.0,0.75,0
2016-10-19,0,0,0,0,0.0,0.0,0
2016-10-26,0,0,0,0,0.0,0.0,0
2016-11-01,0,0,0,0,0.0,0.0,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-14,0,0,0,0,0.0,0.0,0
2016-11-15,0,0,0,0,0.0,0.0,0
2016-11-21,0,0,0,0,0.0,0.0,0
2016-12-09,0,0,0,0,0.425,0.5375,0
2016-12-14,0,0,0,0,0.0,0.0,0
2016-12-15,0,0,0,0,0.0,0.0,0
2016-12-22,0,0,0,0,0.25,0.333333333333,0
2017-02-08,0,0,0,0,0.0,0.0,0
2017-03-03,0,0,0,0,0.5,0.833333333333,0
2017-03-23,0,0,0,0,0.0,0.0,0
2017-04-10,0,0,0,0,0.0,0.0,0
2017-06-01,0,0,0,0,0.0,0.0,0
2017-06-07,0,0,0,0,0.0,0.0,0
2017-06-12,0,0,0,0,0.0,0.0,0
2017-06-27,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-06,0,0,0,0,0.0,0.0,0
2017-07-12,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,-1.5,1.5,0
2017-08-09,0,0,0,0,0.0,0.0,0
2017-08-30,0,0,0,0,0.0,0.0,0
2017-09-06,0,0,0,0,0.0,0.0,0
2017-09-12,0,0,0,0,0.0,0.0,0
2017-09-14,0,0,0,0,0.0,0.0,0
2017-09-21,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,-0.05,0.675,0
2017-10-02,0,0,0,0,0.0,0.0,0
2017-10-03,0,0,0,0,0.0,0.0,0
2017-10-04,0,1,0,0,0.0,0.0,0
2017-10-05,0,0,0,0,0.0,0.25,0
2017-10-06,0,0,0,0,0.3,0.875,0
2017-10-08,0,0,0,0,0.0,0.0,0
2017-10-09,0,0,0,0,1.2,1.575,0
2017-10-10,0,1,0,0,0.00568181818182,0.414772727273,0
2017-10-11,0,0,0,0,-0.905555555556,1.88888888889,0
2017-10-12,0,0,0,0,0.3625,1.01666666667,0
2017-10-13,0,2,1,0,-0.2,3.4,0
2017-10-14,1,0,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,0.0,0.0,0
2017-10-16,0,1,1,1,2.45761904762,5.06857142857,0
