date,scandal,buy,sell,decline,positivity,subjectivity
2015-10-29,0,0,0,0,0.0,0.0
2016-01-15,0,0,0,0,0.0,0.0
2016-06-03,0,0,0,0,0.0,0.0
2016-06-06,0,0,0,0,0.271428571429,0.482142857143
2016-06-20,0,0,0,0,0.0,1.0
2016-07-28,0,0,0,0,0.0,0.0
2016-10-27,0,0,0,0,0.0,0.0
2017-02-16,0,0,0,0,0.0,0.0
2017-02-17,0,0,0,0,0.0,0.625
2017-08-24,0,0,0,0,0.0,0.125
2017-10-02,0,0,0,0,0.0,1.0
2017-10-04,0,0,0,0,0.00444444444444,0.828888888889
2017-10-05,0,0,1,0,0.35,2.63333333333
2017-10-06,0,0,0,0,0.2,0.3
2017-10-09,0,2,1,0,-0.0636363636364,0.454545454545
2017-10-10,0,0,0,0,0.466666666667,0.841666666667
2017-10-11,0,0,0,0,0.16,2.34
2017-10-12,0,1,2,0,1.175,3.075
2017-10-13,0,0,0,0,0.75,2.05
2017-10-14,0,1,0,0,0.0,0.0666666666667
2017-10-15,0,1,1,0,0.170535714286,1.20714285714
2017-10-16,0,0,0,0,0.2,0.55
