date,scandal,buy,sell,decline,positivity,subjectivity
2016-01-27,0,0,0,0,0.0,0.0
2016-02-03,0,0,0,0,0.0,0.0
2016-02-10,0,0,0,0,0.0,0.0
2016-05-19,0,0,0,0,0.0,0.0
2016-07-27,0,0,0,0,0.0,0.0
2016-10-24,0,0,0,0,0.0,1.0
2016-11-02,0,0,0,0,0.0,0.0
2016-11-07,0,0,0,0,-0.1125,0.3125
2016-12-22,0,0,0,0,0.0,0.75
2017-01-11,0,0,0,0,0.0,0.0
2017-01-25,0,0,0,0,0.0,0.0
2017-04-05,0,0,0,0,0.0,0.0
2017-06-07,0,0,0,0,0.0,0.0
2017-07-26,0,0,0,0,0.0,0.0
2017-07-28,0,0,0,0,0.0,0.0
2017-09-07,0,0,0,0,0.0,0.0
2017-09-29,0,0,1,0,0.0,0.625
2017-10-02,0,0,0,0,-0.4,0.8
2017-10-03,0,0,0,0,0.136363636364,0.454545454545
2017-10-04,0,1,0,0,-0.166666666667,0.433333333333
2017-10-05,0,1,1,0,-0.3,0.6
2017-10-06,0,0,0,0,0.0,0.0
2017-10-08,0,0,0,0,0.0,0.0
2017-10-09,0,0,1,0,0.0,0.0833333333333
2017-10-10,0,1,0,0,0.561688311688,1.56991341991
2017-10-11,0,1,0,0,0.666666666667,1.14444444444
2017-10-12,0,0,0,1,0.744444444444,1.68888888889
2017-10-13,0,0,0,0,1.0,1.06666666667
2017-10-14,0,0,0,0,-0.1,0.4
2017-10-15,0,0,0,0,0.2,1.65
2017-10-16,0,0,0,0,1.14444444444,2.26388888889
